name,lng,lat,town,county,index
通霄海水浴場售票處,120.674634,24.4908989,通霄鎮,苗栗縣,0
頭城海水浴場,121.828374,24.852364,頭城鎮,宜蘭縣,1
觀音亭海水浴場,119.5599959,23.56924829999999,馬公市,澎湖縣,2
青洲濱海遊憩區,120.4558106,22.4471649,東港鎮,屏東縣,3
大安濱海海水浴場,120.58764,24.3806801,大安區,台中市,4
蕃仔崙海岸,120.5762999,22.37844,枋寮鄉,屏東縣,5
頭城海水浴場,121.8296678,24.8506738,頭城鎮,宜蘭縣,6
外澳沙灘,121.8430714,24.8778107,頭城鎮,宜蘭縣,7
嵵裡沙灘,119.5669337,23.5256797,馬公市,澎湖縣,8
磯崎海水浴場,121.549968,23.7002567,花蓮縣,花蓮縣,9
厚石海岸,120.363255,22.32497,琉球鄉,屏東縣,10
金山海濱浴場,121.6442175,25.2303667,金山區,新北市,11
崎頂海水浴場,120.865438,24.722792,竹南鎮,苗栗縣,12
大鵬灣海水浴場,120.463044,22.462018,東港鎮,屏東縣,13
萬里海水浴場,121.6907641,25.1810673,萬里區,新北市,14
鹽寮海水浴場,121.927588,25.0421559,貢寮區,新北市,15
金山海濱浴場,121.65073,25.220632,萬里區,新北市,16
新月沙灣,120.9428406,24.8669891,竹北市,新竹縣,17
鯤鯓海水浴場,120.1662205,22.9601015,南區,台南市,18
三條崙海水浴場,120.1538699,23.6598956,四湖鄉,雲林縣,19
新豐海水浴場,120.9772536,24.9299585,新豐鄉,新竹縣,20
龍洞四季灣,121.9182011,25.1018007,貢寮區,新北市,21
馬沙溝濱海遊憩區,120.0837121,23.2166014,將軍區,台南市,22
雙春濱海遊憩區,120.112979,23.312008,北門區,台南市,23
高美海水浴場,120.550763,24.312995,清水區,台中市,24
福隆海水浴場,121.9431583,25.0219984,貢寮區,新北市,25
豆腐岬海水浴場,121.872348,24.58378699999999,蘇澳鎮,宜蘭縣,26
新金山浴場,121.642474,25.230256,金山區,新北市,27
山水沙灘,119.5911178,23.5129795,馬公市,澎湖縣,28
彌陀海濱遊樂區,120.2253156,22.78201,彌陀區,高雄市,29
大安海水浴場,120.5855667,24.3834497,大安區,台中市,30
彌陀海濱遊樂區,120.224585,22.782736,彌陀區,高雄市,31
洲子灣海水浴場,121.438778,25.218011,淡水區,新北市,32
旗津海水浴場,120.2669211,22.610175,旗津區,高雄市,33
外澳海水浴場,121.842505,24.8776663,頭城鎮,宜蘭縣,34
新竹海水浴場,120.910339,24.822819,香山區,新竹市,35
黃金海岸水上世界,120.695977,24.25319,神岡區,台中市,36
宜蘭內埤情人灣,121.8705989,24.5772293,蘇澳鎮,宜蘭縣,37
青洲濱海遊憩區沙灘排球場,120.456353,22.445932,東港鎮,屏東縣,38
國聖埔海灘,121.671927,25.20192299999999,萬里區,新北市,39
瑞濱海灘,121.8219659,25.1215339,瑞芳區,新北市,40
永安海濱樂園,121.01787,24.984142,新屋區,桃園市,41
灣月潭遊樂區,120.667638,23.047361,六龜區,高雄市,42
內埤海灘,121.8701356,24.5765384,蘇澳鎮,宜蘭縣,43
下寮海灘,121.651861,25.21815,萬里區,新北市,44
內垵遊憩區,119.4938758,23.5697743,西嶼鄉,澎湖縣,45
隘門沙灘,119.6389041,23.5547805,湖西鄉,澎湖縣,46
南澳神秘海灘,121.7960795,24.4248583,南澳鄉,宜蘭縣,47
東澳灣,121.838045,24.5112386,蘇澳鎮,宜蘭縣,48
林投公園 海灘,119.6429352,23.5590401,湖西鄉,澎湖縣,49
曼波海灘,121.634187,24.1102388,新城鄉,花蓮縣,50
后螺沙灘,119.5333192,23.63876149999999,西嶼鄉,澎湖縣,51
金沙灣海水浴場,121.9159888,25.0751318,貢寮區,新北市,52
大武崙白沙灘,121.7067944,25.1656071,安樂區,基隆市,53
觀音海水浴場,121.0743089,25.0464816,桃園區,桃園市,54
南寮親子沙灘,120.9280103,24.8489623,北區,新竹市,55
龍門沙灘,119.6824196,23.5652806,湖西鄉,澎湖縣,56
豬鼻子沙灘,121.2330312,25.1144254,大园区,桃园市,57
龍洞四季灣人工沙灘,121.917881,25.098446,貢寮區,新北市,58
崇德沙灘,121.6580211,24.167308,秀林鄉,花蓮縣,59
松柏港北堤沙灘,120.6178636,24.4318197,大甲區,台中市,60
大安海灘,120.5837936,24.3796776,大安區,台中市,61
臺西夢幻沙灘,120.1756239,23.7396756,台西鄉,雲林縣,62
漁光島沙灘,120.1522869,22.9827695,安平區,台南市,63
蚵仔寮海邊沙灘,120.2533728,22.7236825,梓官區,高雄市,64
美人沙灘,120.3712624,22.3526493,琉球鄉,屏東縣,65
大白沙沙灘,121.4935083,22.6388533,綠島鄉,台東縣,66
船帆石小沙灘,120.8217416,21.9352507,恆春鎮,屏東縣,67
小灣沙灘,120.804748,21.9414784,恆春鎮,屏東縣,68
後灣沙灘,120.698083,22.0427942,車城鄉,屏東縣,69
網垵口沙灘,119.5029329,23.3562539,望安鄉,澎湖縣,70
夢幻沙灘,119.5088655,23.6119083,西嶼鄉,澎湖縣,71
林投金沙灘,119.6460154,23.5606694,湖西鄉,澎湖縣,72
滿州沙灘,120.8404672,21.9583502,恆春鎮,屏東縣,73
布袋小確幸海灘,120.1510753,23.3846214,布袋鎮,嘉義縣,74
岐頭沙灘,119.6096292,23.6545396,白沙鄉,澎湖縣,75
後山黃金海岸沙灘,119.6010682,23.7425906,白沙鄉,澎湖縣,76
換膚海岸,121.5705512,23.7639276,壽豐鄉,花蓮縣,77
烏石鼻社區沙灘,121.4152909,23.2368094,長濱鄉,台東縣,78
知本濕地大沙灘,121.0704755,22.6911692,台東市,台東縣,79
金崙海灘,120.9688726,22.530624,太麻里鄉,台東縣,80
華源海灣,121.028941,22.6625274,太麻里鄉,台東縣,81
水漣海邊,121.5692714,23.7809464,壽豐鄉,花蓮縣,82
烏岩角無人沙灘,121.8732219,24.5352473,蘇澳鎮,宜蘭縣,83
粉鳥林海灘,121.8438824,24.4970816,蘇澳鎮,宜蘭縣,84
廍後沙灘,121.8274435,24.7283811,壯圍鄉,宜蘭縣,85
淺水灣,114.1952039,22.2345043,三芝區,新北市,86
中角灣,121.6330424,25.2401774,金山區,新北市,87
雙獅海灘,121.8495724,24.8887597,頭城鎮,宜蘭縣,88
臭水衝浪區,121.8322581,24.8560756,頭城鎮,宜蘭縣,89
佳樂水海灘,120.8459525,21.987432,滿州鄉,屏東縣,90
南灣,120.763504,21.9594679,恆春鎮,屏東縣,91
